	895
UNITED STATES DEPARTMENT OF ENERGY	3
UNITED STATES DEPARTMENT OF LABOR EMPLOYMENT STANDARDS ADMINISTRATION	3
REPRODUCED BY NATIONAL TECHNICAL INFORMATION SERVICE UNITED STATES DEPARTMENT OF COMMERCE	3
DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE NATIONAL INSTITUTES OF HEALTH NATIONAL CANCER INSTITUTE	3
UNITED STATES DEPARTMENT OF COMMERCE NATIONAL TELECOMMUNICATIONS AND INFORMATION ADMINISTRATION	3
DEPARTMENT OF HEALTH EDUCATION AND WELFARE EDUCATION DIVISION OFFICE OF EDUCATION OFFICE OF CAREER EDUCATION	3
NATIONAL INSTITUTE FOR JUVENILE JUSTICE AND DELINQUENCY PREVENTION OFFICE OF JUVENILE JUSTICE AND DELINQUENCY PREVENTION LAW ENFORCEMENT ASSISTANCE ADMINISTRATION UNITED STATES DEPARTMENT OF JUSTICE	3
UNITED STATES DEPARTMENT OF COMMERCE DOMESTIC AND INTERNATIONAL BUSINESS ADMINISTRATION BUREAU OF EAST-WEST TRADE	3
EXECUTIVE OFFICE OF PRESIDENT COUNCIL ON WAGE AND PRICE STABILITY	3
DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE HEALTH SERVICES ADMINISTRATION BUREAU OF COMMUNITY HEALTH SERVICES	3
NATIONAL ADVISORY COUNCIL ON WOMEN EDUCATIONAL PROGRAMS	3
DEPARTMENT OF AGRICULTURE FOREST SERVICE NORTHEASTERN FOREST EXPERIMENT STATION	3
TECHNICAL PRESERVATION SERVICES DIVISION OFFICE OF ARCHEOLOGY AND HISTORIC PRESERVATION NATIONAL PARK SERVICE UNITED STATES DEPARTMENT OF INTERIOR	3
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE OFFICE OF HUMAN DEVELOPMENT OFFICE OF CHILD DEVELOPMENT CHILDREN BUREAU	3
DEPARTMENT OF AGRICULTURE SOIL CONSERVATION SERVICE	3
UNITED STATES DEPARTMENT OF COMMERCE INTERNATIONAL TRADE ADMINISTRATION	3
REPRODUCED BY NATIONAL TECHNICAL INFORMATION SERVICE	3
OFFICE OF TECHNOLOGY TRANSFER NATIONAL INSTITUTE OF LAW ENFORCEMENT AND CRIMINAL JUSTICE LAW ENFORCEMENT ASSISTANCE ADMINISTRATION UNITED STATES DEPARTMENT OF JUSTICE	3
UNITED STATES ARMY MILITARY HISTORY INSTITUTE	3
CLEARINGHOUSE	3
REPORTS AND STATISTICS SERVICE OFFICE OF CONTROLLER VETERANS ADMINISTRATION	3
GEOLOGICAL SURVEY	3
NATIONAL CENTER FOR SOCIAL STATISTICS	3
UNITED STATES DEPARTMENT OF AGRICULTURE AGRICULTURAL STABILIZATION AND CONSERVATION SERVICE	3
NATIONAL IMAGERY AND MAPPING AGENCY	3
NATIONAL INSTITUTES OF HEALTH DIVISION OF RESEARCH RESOURCES	3
UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES PUBLIC HEALTH SERVICE CENTERS FOR DISEASE CONTROL	3
TENNESSEE VALLEY AUTHORITY	3
NATIONAL LIBRARY SERVICE FOR BLIND AND PHYSICALLY HANDICAPPED LIBRARY OF CONGRESS	3
SUPT OF DOCS UNITED STATES GPO	3
BUREAU OF LABOR STATISTICS	3
UNITED STATES DEPARTMENT OF LABOR EMPLOYMENT AND TRAINING ADMINISTRATION OFFICE OF YOUTH PROGRAMS	3
UNITED STATES BUREAU OF CENSUS	3
PRESIDENT COMMITTEE ON EMPLOYMENT OF HANDICAPPED	3
DISTRICT	3
UNITED STATES DEPARTMENT OF COMMERCE BUREAU OF ECONOMIC ANALYSIS	3
PRESIDENT COMMITTEE ON MENTAL RETARDATION	3
DEPARTMENT OF AGRICULTURE FOREIGN AGRICULTURAL SERVICE	3
NAVAL HISTORY DIVISION DEPARTMENT OF NAVY	3
NATIONAL GEOPHYSICAL AND SOLAR-TERRESTRIAL DATA CENTER	3
DEPARTMENT OF COMMERCE	3
DEPARTMENT OF INTERIOR HERITAGE CONSERVATION AND RECREATION SERVICE OFFICE OF ARCHEOLOGY AND HISTORIC PRESERVATION HISTORIC AMERICAN ENGINEERING RECORD	3
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE HEALTH RESOURCES ADMINISTRATION NATIONAL CENTER FOR HEALTH STATISTICS	3
UNITED STATES DEPARTMENT OF COMMERCE DOMESTIC AND INTERNATIONAL BUSINESS ADMINISTRATION BUREAU OF INTERNATIONAL COMMERCE	3
NATIONAL COMMISSION ON OBSERVANCE OF INTERNATIONAL WOMEN YEAR	3
UNITED STATES NATIONAL BUREAU OF STANDARDS	3
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE HEALTH RESOURCES ADMINISTRATION BUREAU OF HEALTH RESOURCES DEVELOPMENT	3
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE ALCOHOL DRUG ABUSE AND MENTAL HEALTH ADMINISTRATION NATIONAL INSTITUTE ON DRUG ABUSE	3
WASHINGTON ENVIRONMENTAL RESEARCH CENTER OFFICE OF RESEARCH AND DEVELOPMENT UNITED STATES ENVIRONMENTAL PROTECTION AGENCY	3
BUREAU OF INDIAN AFFAIRS	3
PUBLISHED FOR RENWICK GALLERY OF NATIONAL COLLECTION OF FINE ARTS BY SMITHSONIAN INSTITUTION PRESS	3
OFFICE OF GENERAL COUNSEL LAW ENFORCEMENT ASSISTANCE ADMINISTRATION	3
NATIONAL ARCHIVES AND RECORDS SERVICE	3
UNITED STATES FOREIGN AGRICULTURAL SERVICE	3
OFFICE OF PUBLICATIONS NATIONAL PARK SERVICE	3
AMERICAN GEOLOGICAL INSTITUTE	2
UNITED STATES DEPARTMENT OF AGRICULTURE AGRICULTURAL MARKETING SERVICE	2
DEPARTMENT OF HEALTH AND HUMAN SERVICES	2
ADMINISTRATIVE OFFICE OF UNITED STATES COURTS	2
CROP REPORTING BOARD STATISTICAL REPORTING SERVICE UNITED STATES DEPARTMENT OF AGRICULTURE	2
ECONOMIC RESEARCH SERVICE UNITED STATES DEPARTMENT OF AGRICULTURE	2
NATIONAL FOREIGN ASSESSMENT CENTER	2
UNITED STATES DEPARTMENT OF COMMERCE NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION OFFICE OF ENVIRONMENTAL MONITORING AND PREDICTION	2
COAST GUARD	2
PACIFIC SOUTHWEST FOREST AND RANGE EXPERIMENT STATION FOREST SERVICE UNITED STATES DEPARTMENT OF AGRICULTURE	2
DEPARTMENT OF TREASURY BUREAU OF ALCOHOL TOBACCO AND FIREARMS	2
BOARD OF GOVERNORS OF FEDERAL RESERVE SYSTEM	2
SMITHSONIAN INSTITUTION PRESS ETC	2
ASSOCIATION	2
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE OFFICE OF CONSUMER AFFAIRS	2
INFANTRY JOURNAL	2
DISTRIBUTED BY SCHOLARLY RESOURCES	2
NATIONAL ARCHIVES TRUST FUND BOARD UNITED STATES GENERAL SERVICES ADMINISTRATION	2
UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES OFFICE OF HUMAN DEVELOPMENT SERVICES ADMINISTRATION FOR CHILDREN YOUTH AND FAMILIES CHILDREN BUREAU NATIONAL CENTER ON CHILD ABUSE AND NEGLECT	2
CORPORATION	2
UNITED STATES DEPARTMENT OF STATE BUREAU OF PUBLIC AFFAIRS	2
DEPARTMENT OF HEALTH EDUCATION AND WELFARE OFFICE OF HUMAN DEVELOPMENT SERVICES ADMINISTRATION ON AGING	2
UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES	2
NASA SCIENTIFIC AND TECHNICAL INFORMATION BRANCH	2
NATIONAL ARCHIVES TRUST FUND BOARD	2
DEPARTMENT OF HEALTH AND HUMAN SERVICES SOCIAL SECURITY ADMINISTRATION	2
DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE CENTER FOR DISEASE CONTROL NATIONAL INSTITUTE FOR OCCUPATIONAL SAFETY AND HEALTH DIVISION OF TRAINING AND MANPOWER DEVELOPMENT	2
DEPARTMENT OF COMMERCE NATIONAL BUREAU OF STANDARDS INSTITUTE FOR APPLIED TECHNOLOGY CENTER FOR BUILDING TECHNOLOGY	2
USDA FOREST SERVICE SOUTHWESTERN REGION	2
UNITED STATES DEPARTMENT OF JUSTICE DRUG ENFORCEMENT ADMINISTRATION	2
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE OFFICE OF HEALTH RESEARCH STATISTICS AND TECHNOLOGY NATIONAL CENTER FOR HEALTH SERVICES RESEARCH	2
UNITED STATES DEPARTMENT OF COMMERCE MARITIME ADMINISTRATION OFFICE OF COMMERCIAL DEVELOPMENT OFFICE OF PORT AND INTERMODAL DEVELOPMENT	2
NATIONAL ADVISORY COMMITTEE ON BLACK HIGHER EDUCATION AND BLACK COLLEGES AND UNIVERSITIES	2
NATIONAL CANCER INSTITUTE	2
UNITED STATES DEPARTMENT OF INTERIOR FISH AND WILDLIFE SERVICE OREGON-IDAHO AREA OFFICE	2
DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE ALCOHOL DRUG ABUSE AND MENTAL HEALTH ADMINISTRATION NATIONAL INSTITUTE ON DRUG ABUSE	2
OAK RIDGE NATIONAL LABORATORY	2
DEPARTMENT OF INTERIOR GEOLOGICAL SURVEY	2
UNITED STATES DEPARTMENT OF INTERIOR BUREAU OF INDIAN AFFAIRS	2
DEPARTMENT OF TRANSPORTATION NATIONAL HIGHWAY TRAFFIC SAFETY ADMINISTRATION	2
MAY BE PURCHASED FROM NATIONAL TECHNICAL INFORMATION SERVICE UNITED STATES DEPARTMENT OF COMMERCE	2
ROCKY MOUNTAIN FOREST AND RANGE EXPERIMENT STATION	2
UNITED STATES NATIONAL TECHNICAL INFORMATION SERVICE	2
DEPARTMENT OF TRANSPORTATION FEDERAL AVIATION ADMINISTRATION OFFICE OF SYSTEMS ENGINEERING MANAGEMENT	2
OBSERVATORY	2
DEPARTMENT OF HEALTH EDUCATION AND WELFARE OFFICE OF ASSISTANT SECRETARY FOR PLANNING AND EVALUATION PROJECT SHARE	2
OFFICE OF TECHNOLOGY ASSESSMENT	2
APPLIED MANAGEMENT SCIENCES	2
EXECUTIVE OFFICE OF PRESIDENT ENERGY POLICY AND PLANNING	2
OFFICE OF MANAGEMENT AND BUDGET	2
DEPARTMENT OF HEALTH EDUCATION AND WELFARE SOCIAL SECURITY ADMINISTRATION OFFICE OF RESEARCH AND STATISTICS	2
DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE ALCOHOL DRUG ABUSE AND MENTAL HEALTH ADMINISTRATION NATIONAL INSTITUTE ON DRUG ABUSE DIVISION OF RESEARCH PSYCHOSOCIAL BRANCH	2
DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE CENTER FOR DISEASE CONTROL BUREAU OF HEALTH EDUCATION NATIONAL CLEARINGHOUSE COMMITTEE ON FOR SMOKING AND HEALTH	2
NATIONAL COMMISSION ON SUPPLIES AND SHORTAGES	2
UNITED STATES ARMS CONTROL AND DISARMAMENT AGENCY	2
VETERANS ADMINISTRATION HOSPITAL	2
DEPARTMENT OF HEALTH EDUCATION AND WELFARE OFFICE OF HUMAN DEVELOPMENT SERVICES ADMINISTRATION FOR CHILDREN YOUTH AND FAMILIES CHILDREN BUREAU NATIONAL CENTER ON CHILD ABUSE AND NEGLECT	2
UNITED STATES ADMINISTRATION ON AGING	2
BUREAU OF LAND MANAGEMENT UNITED STATES DEPARTMENT OF INTERIOR	2
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION JET PROPULSION LABORATORY CALIFORNIA INSTITUTE OF TECHNOLOGY	2
WESTERN ARCHEOLOGICAL CENTER NATIONAL PARK SERVICE	2
NAVAL EDUCATION AND TRAINING PROGRAM DEVELOPMENT CENTER	2
UNITED STATES TRAVEL SERVICE OFFICE OF RESEARCH AND ANALYSIS	2
SMITHSONIAN INSTITUTION TRAVELING EXHIBITION SERVICE	2
DEPARTMENT OF INTERIOR BUREAU OF RECLAMATION	2
DEPARTMENT OF AGRICULTURE SCIENCE AND EDUCATION ADMINISTRATION	2
GREAT LAKES BASIN COMMISSION	2
DEPARTMENT OF COMMERCE NATIONAL TECHNICAL INFORMATION SERVICE	2
DEPARTMENT OF COMMERCE NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION NATIONAL OCEAN SURVEY	2
DEPARTMENT OF LABOR EMPLOYMENT AND TRAINING ADMINISTRATION OFFICE OF YOUTH PROGRAMS	2
DEPARTMENT OF TREASURY BUREAU OF MINT	2
CORPS	2
DEPARTMENT OF HEALTH EDUCATION AND WELFARE SOCIAL AND REHABILITATION SERVICE PUBLIC SERVICES ADMINISTRATION	2
ROME AIR DEVELOPMENT CENTER AIR FORCE SYSTEMS COMMAND	2
ENVIRONMENTAL PROTECTION AGENCY OFFICE OF TOXIC SUBSTANCES	2
UNITED STATES DEPARTMENT OF LABOR OFFICE OF ASSISTANT SECRETARY FOR ADMINISTRATION AND MANAGEMENT LIBRARY	2
FEDERAL ENERGY ADMINISTRATION	2
DEPARTMENT OF COMMERCE BUREAU OF ECONOMIC ANALYSIS	2
FEDERAL ENERGY ADMINISTRATION OFFICE OF ENERGY CONSERVATION AND ENVIRONMENT	2
ACTION SERVICE CORPS NATIONAL STUDENT VOLUNTEER PROGRAM	2
NATIONAL DRUG ABUSE CENTER FOR TRAINING AND RESOURCE DEVELOPMENT	2
EQUAL EMPLOYMENT OPPORTUNITY COMMISSION	2
BUREAU OF NAVIGATION	2
NATIONAL PORTRAIT GALLERY SMITHSONIAN INSTITUTION	2
CONSUMER AND FOOD ECONOMICS INSTITUTE AGRICULTURAL RESEARCH SERVICE UNITED STATES DEPARTMENT OF AGRICULTURE	2
AGENCY FOR INTERNATIONAL DEVELOPMENT	2
UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES PUBLIC HEALTH SERVICE NATIONAL INSTITUTES OF HEALTH NATIONAL LIBRARY OF MEDICINE	2
DEFENSE MAPPING AGENCY	2
PRESERVATION OFFICE RESEARCH SERVICES LIBRARY OF CONGRESS	2
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE OFFICE OF EDUCATION BUREAU OF RESEARCH	2
CBO	2
COUNCIL?	2
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE SOCIAL SECURITY ADMINISTRATION	2
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE INDIAN HEALTH SERVICE	2
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE EDUCATION DIVISION FUND FOR IMPROVEMENT OF POSTSECONDARY EDUCATION	2
DEPARTMENT OF AGRICULTURE FARMERS HOME ADMINISTRATION	2
DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE HEALTH RESOURCES ADMINISTRATION NATIONAL CENTER FOR HEALTH SERVICES RESEARCH	2
FEDERAL HOME LOAN BANK BOARD	2
DEPARTMENT OF HEALTH EDUCATION AND WELFARE OFFICE OF HUMAN DEVELOPMENT SERVICES ADMINISTRATION FOR CHILDREN YOUTH AND FAMILIES CHILDREN BUREAU	2
DEPARTMENT OF HEALTH EDUCATION AND WELFARE HEALTH CARE FINANCING ADMINISTRATION HEALTH STANDARDS AND QUALITY BUREAU	2
FEDERAL BUREAU OF INVESTIGATION FBI LABORATORY	2
NATIONAL CENTER ON CHILD ABUSE AND NEGLECT CHILDREN BUREAU ADMINISTRATION FOR CHILDREN YOUTH AND FAMILIES OFFICE OF HUMAN DEVELOPMENT SERVICES UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE	2
NATIONAL ASSESSMENT OF EDUCATIONAL PROGRESS	2
NATIONAL TRANSPORTATION SAFETY BOARD	2
NAVAL RESEARCH LABORATORY	2
DISTRIBUTED BY UNITED STATES DEPARTMENT OF COMMERCE OFFICE OF TECHNICAL SERVICES	2
UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES PUBLIC HEALTH SERVICE HEALTH RESOURCES ADMINISTRATION BUREAU OF HEALTH PLANNING	2
UNITED STATES DEPARTMENT OF AGRICULTURE SCIENCE AND EDUCATION ADMINISTRATION	2
UNITED STATES DEPARTMENT OF TREASURY	2
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE OFFICE OF HUMAN DEVELOPMENT SERVICES ADMINISTRATION FOR CHILDREN YOUTH AND FAMILIES CHILDREN BUREAU	2
HERITAGE CONSERVATION AND RECREATION SERVICE TECHNICAL PRESERVATION SERVICES UNITED STATES DEPARTMENT OF INTERIOR	2
INSTITUTION	2
UNITED STATES DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT LIBRARY DIVISION	2
UNITED STATES FISH AND WILDLIFE SERVICE	2
DEPARTMENT OF JUSTICE IMMIGRATION AND NATURALIZATION SERVICE	2
NATIONAL FERTILIZER DEVELOPMENT CENTER TENNESSEE VALLEY AUTHORITY	2
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE EDUCATION DIVISION OFFICE OF EDUCATION	2
DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE HEALTH RESOURCES ADMINISTRATION BUREAU OF HEALTH PLANNING	2
COUNCIL ON ENVIRONMENTAL QUALITY EXECUTIVE OFFICE OF PRESIDENT	2
UNITED STATES ARMY COASTAL ENGINEERING RESEARCH CENTER	2
DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE FOOD AND DRUG ADMINISTRATION BUREAU OF RADIOLOGICAL HEALTH	2
UNITED STATES COAST GUARD OFFICE OF RESEARCH AND DEVELOPMENT	2
DEPARTMENT OF TRANSPORTATION FEDERAL AVIATION ADMINISTRATION FLIGHT STANDARDS SERVICE	2
FEDERAL RESERVE BANK OF RICHMOND	2
FEDERAL ENERGY ADMINISTRATION NATIONAL ENERGY INFORMATION CENTER	2
COMMODITY FUTURES TRADING COMMISSION	2
EXTERNAL RESEARCH STAFF OFFICE OF INTELLIGENCE RESEARCH DEPARTMENT OF STATE	2
UNITED STATES DEPARTMENT OF COMMERCE ECONOMIC DEVELOPMENT ADMINISTRATION OFFICE OF ECONOMIC RESEARCH	2
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT OFFICE OF POLICY DEVELOPMENT AND RESEARCH DIVISION OF ENERGY BUILDING TECHNOLOGY AND STANDARDS	2
DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE CENTER FOR DISEASE CONTROL NATIONAL INSTITUTE FOR OCUPATIONAL SAFETY AND HEALTH	2
DEPARTMENT OF HEALTH EDUCATION AND WELFARE OFFICE OF ASSISTANT SECRETARY FOR PLANNING AND EVALUATION	2
DEPARTMENT OF TRANSPORTATION FEDERAL AVIATION ADMINISTRATION OFFICE OF AVIATION POLICY	2
DEPARTMENT OF NAVY	2
INSTITUTE FOR ENVIRONMENTAL ACTION	2
COMMAND	2
UNITED STATES DEPARTMENT OF TRANSPORTATION FEDERAL AVIATION ADMINISTRATION SYSTEMS RESEARCH AND DEVELOPMENT SERVICE	2
DEPARTMENT OF DEFENSE DEPARTMENT OF ARMY	2
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE OFFICE OF HUMAN DEVELOPMENT REHABILITATION SERVICES ADMINISTRATION	2
DEPARTMENT OF HEALTH EDUCATION AND WELFARE OFFICE OF HUMAN DEVELOPMENT SERVICES ADMINISTATION ON AGING NATIONAL CLEARINGHOUSE ON AGING	2
CHILDREN BUREAU	2
UNITED STATES TREASURY DEPARTMENT OFFICE OF SECRETARY	2
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE HEALTH RESOURCES ADMINISTRATION BUREAU OF HEALTH PLANNING AND RESOURCES DEVELOPMENT DIVISION OF PLANNING METHODS AND TECHNOLOGY NATIONAL HEALTH PLANNING INFORMATION CENTER	2
DEPARTMENT OF TREASURY INTERNAL REVENUE SERVICE	2
PUBLISHED FOR SMITHSONIAN INSTITUTION TRAVELING EXHIBITION SERVICE BY SMITHSONIAN INSTITUTION PRESS	2
UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES PUBLIC HEALTH SERVICE FOOD AND DRUG ADMINISTRATION	2
UNITED STATES ENERGY RESEARCH AND DEVELOPMENT ADMINISTRATION OFFICE OF PUBLIC AFFAIRS TECHNICAL INFORMATION CENTER	2
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION SCIENTIFIC AND TECHNICAL INFORMATION OFFICE	2
FOREST PRODUCTS LABORATORY FOREST SERVICE UNITED STATES DEPARTMENT OF AGRICULTURE	2
DEPARTMENT OF AGRICULTURE FOREST SERVICE FOREST PRODUCTS LABORATORY	2
UNITED STATES DEPARTMENT OF AGRICULTURE FOREST SERVICE PACIFIC NORTHWEST FOREST AND RANGE EXPERIMENT STATION	2
FEDERAL RESERVE BANK OF SAN FRANCISCO	2
NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION NATIONAL MARINE FISHERIES SERVICE	2
SMALL BUSINESS ADMINISTRATION	2
UNITED STATES GOVERNMENT PRINTING OFF	2
UNITED STATES NATIONAL CENTER FOR HEALTH STATISTICS	2
OFFICE OF FEDERAL REGISTER NATIONAL ARCHIVES AND RECORDS SERVICE GENERAL SERVICES ADMINISTRATION	2
DEPARTMENT OF HEALTH EDUCATION AND WELFARE OFFICE OF HUMAN DEVELOPMENT SERVICES ADMINISTRATION FOR CHILDREN YOUTH AND FAMILIES	2
FEDERAL RESERVE BANK OF DALLAS	2
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE CENTER FOR DISEASE CONTROL BUREAU OF STATE SERVICES IMMUNIZATION DIVISION	2
UNITED STATES WATER RESOURCES COUNCIL	2
UNITED STATES DEPARTMENT OF COMMERCE INTERNATIONAL TRADE ADMINISTRATION OFFICE OF EXPORT ADMINISTRATION	2
FISH AND WILDLIFE SERVICE UNITED STATES DEPARTMENT OF INTERIOR	2
DEPARTMENT OF INTERIOR UNITED STATES FISH AND WILDLIFE SERVICE	2
ARCHIVES	2
NATIONAL ARCHIVES NATIONAL ARCHIVES AND RECORDS SERVICE GENERAL SERVICES ADMINISTRATION	2
DEPARTMENT OF TRANSPORTATION FEDERAL RAILROAD ADMINISTRATION OFFICE OF SAFETY	2
UNITED STATES ARMY RESEARCH OFFICE	2
AGRICULTURAL MARKETING SERVICE UNITED STATES DEPARTMENT OF AGRICULTURE	2
DEPARTMENT OF MEDICINE AND SURGERY REHABILITATION R AND D SERVICE	2
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE FOOD AND DRUG ADMINISTRATION OFFICE OF SCIENCE EXTRAMURAL RESEARCH	2
UNITED STATES DEPARTMENT OF COMMERCE NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION OFFICE OF RESEARCH AND DEVELOPMENT	2
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE WELFARE ADMINISTRATION	2
JOINT PUBLICATIONS RESEARCH SERVICE	2
DEPARTMENT OF HEALTH AND HUMAN SERVICES PUBLIC HEALTH SERVICE	2
UNITED STATES DEPARTMENT OF COMMERCE OFFICE OF BUSINESS ECONOMICS	2
SCIENTIFIC AND TECHNICAL INFORMATION DIVISION OFFICE OF TECHNOLOGY UTILIZATION NATIONAL AERONAUTICS AND SPACE ADMINISTRATION	2
OFFICE OF JUVENILE JUSTICE AND DELINQUENCY PREVENTION LAW ENFORCEMENT ASSISTANCE ADMINISTRATION UNITED STATES DEPARTMENT OF JUSTICE	2
RESETTLEMENT ADMINISTRATION	2
FEDERAL RESERVE BANK OF NEW YORK	2
FEDERAL RESERVE BANK	2
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE CENTER FOR DISEASE CONTROL	2
UNITED STATES GOVERNMENT PRINTING OFFICE ETC	2
UNITED STATES DEPARTMENT OF INTERIOR GEOLOGICAL SURVEY WATER RESOURCES DIVISION	2
DEPARTMENT OF DEFENSE DEFENSE SUPPLY AGENCY	2
UNITED STATES DEPARTMENT OF TRANSPORTATION URBAN MASS TRANSPORTATION ADMINISTRATION	2
FDA	2
UNITED STATES DEPARTMENT OF AGRICULTURE ECONOMIC RESEARCH SERVICE	2
UNITED STATES COAST GUARD	2
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE OFFICE FOR CIVIL RIGHTS	2
OFFICE OF AIR FORCE HISTORY HEADQUARTERS USAF	2
UNITED STATES DEPARTMENT OF COMMERCE BUREAU OF INTERNATIONAL COMMERCE	2
UNITED STATES DEPARTMENT OF LABOR EMPLOYMENT AND TRAINING ADMINISTRATION UNEMPLOYMENT INSURANCE SERVICE	2
ACIR	2
DEPARTMENT OF TREASURY OFFICE OF REVENUE SHARING	2
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE OFFICE OF HUMAN DEVELOPMENT SERVICES ADMINISTRATION FOR CHILDREN YOUTH AND FAMILIES	2
NATIONAL PARK SERVICE MAY BE PURCHASED FROM SUPT OF DOCS GOVERNMENT PRINT OFF	2
UNITED STATES DEPARTMENT OF LABOR LABOR-MANAGEMENT SERVICES ADMINISTRATION	2
NATIONAL COUNCIL ON INDIAN OPPORTUNITY	2
NATIONAL ENVIRONMENTAL RESEARCH CENTER OFFICE OF RESEARCH AND DEVELOPMENT UNITED STATES ENVIRONMENTAL PROTECTION AGENCY	2
UNITED STATES ARMY MILITARY HISTORY RESEARCH COLLECTION	2
UNITED STATES ENVIRONMENTAL PROTECTION AGENCY OFFICE OF RESEARCH AND DEVELOPMENT	2
NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION ENVIRONMENTAL RESEARCH LABORATORIES	2
UNITED STATES DEPARTMENT OF COMMERCE NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION OFFICE OF OCEAN ENGINEERING	2
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT FEDERAL INSURANCE ADMINISTRATION	2
DEPARTMENT OF INTERIOR FISH AND WILDLIFE SERVICE	2
OFFICE OF PUBLICATIONS NATIONAL PARK SERVICE UNITED STATES DEPARTMENT OF INTERIOR	2
COUNCIL ON WAGE AND PRICE STABILITY	2
SCIENTIFIC AND TECHNICAL INFORMATION DIVISION NATIONAL AERONAUTICS AND SPACE ADMINISTRATION	2
WATER RESOURCES SCIENTIFIC INFORMATION CENTER OFFICE OF WATER RESEARCH AND TECHNOLOGY UNITED STATES DEPARTMENT OF INTERIOR	2
DEPARTMENT OF STATE AGENCY FOR INTERNATIONAL DEVELOPMENT	2
ENVIRONMENTAL PROTECTION AGENCY	2
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE OFFICE OF ASSISTANT SECRETARY FOR HEALTH	2
LAW ENFORCEMENT ASSISTANCE ADMINISTRATION UNITED STATES DEPARTMENT OF JUSTICE	2
OFFICE OF TAX ANALYSIS DEPARTMENT OF TREASURY	2
INTERSTATE COMMERCE COMMISSION	2
AGRICULTURAL RESEARCH SERVICE UNITED STATES DEPARTMENT OF AGRICULTURE	2
BUREAU OF CONSUMER PROTECTION	2
NATIONAL ADVISORY COMMISSION ON CRIMINAL JUSTICE STANDARDS AND GOALS	2
